Family	Genus	vals	esvs	order
Mediophyceae	Chaetoceros	59.5	43	165
Mediophyceae	Thalassiosira	17.9	43	165
Mediophyceae	Arcocellulus	2.2	2	165
Mediophyceae	Unidentified	2.1	12	165
Mediophyceae	Lauderia	1.8	2	165
Mediophyceae	Skeletonema	0.8	4	165
Mediophyceae	Attheya	0.3	2	165
Mediophyceae	Brockmanniella	0.3	2	165
Mediophyceae	Cyclotella	<0.1	1	165
Mediophyceae	Eucampia	<0.1	1	165
Bacillariophyceae	Unidentified	2.2	17	157
Bacillariophyceae	Pseudo-nitzschia	1.6	6	157
Bacillariophyceae	Fragilariopsis	1.3	4	157
Bacillariophyceae	Cylindrotheca	0.6	9	157
Bacillariophyceae	Nitzschia	0.3	7	157
Bacillariophyceae	Navicula	0.3	4	157
Bacillariophyceae	Pleurosigma	0.1	3	157
Bacillariophyceae	Entomoneis	0.1	1	157
Bacillariophyceae	Asterionellopsis	<0.1	2	157
Rhizosolenids	Rhizosolenia	0.5	2	151
Rhizosolenids	Guinardia	0.1	3	151
Rhizosolenids	Unidentified	0.1	2	151
Fragilariales	Thalassionema	<0.1	2	100
Fragilariales	Fragilaria	<0.1	1	100
Fragilariales	Synedropsis	<0.1	1	100
Melosirids	Stephanopyxis	<0.1	1	75
Diatomea_po	Unidentified	4.9	15	0
Bacillariophytina_pf	Unidentified	2.9	5	0
